,projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_metro,school_district,school_county,school_charter,school_magnet,teacher_prefix,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,date_posted,datefullyfunded
75878,9b6a9847013cf495cb26a42dc2cb9b01,0e03a93b8de47254e776492ed34f7a21,bea5ea242c5f8ea7939b906711680992,440090000000.0,41.803959000000006,-71.42790699999999,Providence,RI,urban,Providence Public School Dist,Providence,f,t,Ms.,Literacy,Literacy & Language,Early Development,Applied Learning,Technology,highest poverty,Grades PreK-2,391.14,25.0,f,12/13/13,2/1/14
21773,2ce1981bc4879412b8d2dfb65f13581b,7134eec716ed4bfbe0a8552c243c043b,fad68c3df2bdd8f981b7e3bca4b080c0,220180000000.0,30.108618,-92.123549,Maurice,LA,,Vermilion Parish School Dist,Vermilion,f,f,Mrs.,Literature & Writing,Literacy & Language,,,Technology,high poverty,Grades PreK-2,553.48,22.0,f,10/29/13,2/7/14
41236,54d89074c52886fdfc03c6082826e0fd,3ea29d6efbf56e2e257c5e34132aed54,c8dea64c9cfcfdd849e4fa4b5d5d1af7,,25.81181,-80.274521,Miami Springs,FL,suburban,Miami-dade Co Public Sch Dist,Miami-Dade,t,f,Ms.,Music,Music & The Arts,,,Supplies,highest poverty,Grades 3-5,378.29,90.0,f,12/30/13,1/11/14
68585,8c6ec7be086585c453b34863de14eb74,db7f355b5fac861d24075d9e275d95ac,b21a380c1fab9c2e733fd53cd1ea93f8,,42.584934999999994,-114.47979,Twin Falls,ID,,Idaho Dept of Education,Twin Falls,t,f,Mrs.,History & Geography,History & Civics,Health & Life Science,Math & Science,Supplies,high poverty,Grades 3-5,573.2,33.0,f,8/21/12,10/6/12
17201,2374bd922d29c36987b052bad0a17d37,d430c3efc86bd40293c96c77a7b8c0c5,01ca8e1d42b4f5fbbc8573ae6c5e1331,63324008954.0,38.646664,-121.451103,Sacramento,CA,urban,Robla Elem School District,Sacramento,f,f,Mr.,Social Sciences,History & Civics,Literature & Writing,Literacy & Language,Books,highest poverty,Grades 3-5,470.13,96.0,f,8/12/13,12/9/13
117519,f09a135d0213c6be65491c3a222c3c65,4afc0ce71d231ef0ef33a0e069b6cf5d,442b146baa4a38fbd1180256c65f9b1f,170993000000.0,41.798084,-87.705074,Chicago,IL,urban,Midway Elementary Network,Cook,f,f,Ms.,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Supplies,highest poverty,Grades PreK-2,331.91,32.0,f,8/24/12,9/7/12
26269,36334168656d1cc59127fc661910383d,b20b00649ee8a649f57e8ba3ac953560,2a20cd55bab43f89d2b8aec53abb85c6,361548000000.0,40.606293,-73.645699,Island Park,NY,suburban,Island Park Union Free SD,Nassau,f,f,Ms.,Literacy,Literacy & Language,Special Needs,Special Needs,Technology,moderate poverty,Grades 6-8,765.85,38.0,f,1/29/13,3/25/13
100677,cdffed6c21432258aac488920980fb52,e5ee2b511f170fceecbd20b9cf8f3882,0a2b86717b651649fdf722d2064c20ab,370024000000.0,35.673023,-79.80941,Asheboro,NC,rural,Asheboro City School District,Randolph,f,f,Mrs.,Literacy,Literacy & Language,Mathematics,Math & Science,Other,high poverty,Grades PreK-2,354.09,20.0,f,8/15/13,11/6/13
23764,30f763f91d137c5f5a5def60fb290c71,c8ec8e76e8aa47067b378de4f5023a1a,f7185ca60b3498ad5936f1f472c7f3b7,40029501126.0,35.193045,-114.01141000000001,Kingman,AZ,,Kingman Unified School Dist 20,Mohave,f,f,Ms.,Special Needs,Special Needs,Character Education,Applied Learning,Supplies,high poverty,Grades 3-5,544.59,6.0,t,9/7/13,11/20/13
28459,3ae545115989eed312cf15323ecc0985,99effce0e1569cc4ea1b8d7bc244cc53,a1b8b1b8746b38298b4c49f0d74571db,60005102014.0,39.363065999999996,-121.691551,Gridley,CA,,Gridley Unified Sch District,Butte,f,f,Mrs.,Literacy,Literacy & Language,ESL,Literacy & Language,Books,highest poverty,Grades 3-5,495.31,55.0,f,8/4/13,8/31/13
